"","Company","Project","Country","V1","ProComp"
"170","Polymetal Intl Plc","Omolon","Russian Federation",34912000,"Polymetal Intl Plc Omolon"
"171","Premier Oil Plc","Corporate","Indonesia",34616000,"Premier Oil Plc Corporate"
"172","ROYAL DUTCH SHELL PLC","OBAIYED","Egypt",34422390,"ROYAL DUTCH SHELL PLC OBAIYED"
"173","Tullow Oil PLC","Tullow Uganda Limited","Uganda",33683871,"Tullow Oil PLC Tullow Uganda Limited"
"174","Nord Gold SE","Bissa Gold SA","Burkina Faso",33307078,"Nord Gold SE Bissa Gold SA"
"175","Total Sa","Rabi CEPP","Gabon",33253000,"Total Sa Rabi CEPP"
"176","ROYAL DUTCH SHELL PLC","INSITU","Canada",33204182,"ROYAL DUTCH SHELL PLC INSITU"
"177","Glencore plc","Queensland Project - Thermal Coal","Australia",32966464,"Glencore plc Queensland Project - Thermal Coal"
"178","BP P.L.C.","Block 20","Angola",32142857,"BP P.L.C. Block 20"
"179","Total Sa","OML138 (Usan)","Nigeria",32028000,"Total Sa OML138 (Usan)"
"180","Total Sa","Alwyn North","United Kingdom of Great Britain and Northern Ireland",31902000,"Total Sa Alwyn North"
"181","Premier Oil Plc","Chim Sao","Viet Nam",31887000,"Premier Oil Plc Chim Sao"
"182","BP P.L.C.","Rosneft","Russian Federation",31795751,"BP P.L.C. Rosneft"
"183","Total Sa","Kashagan","Kazakhstan",31784000,"Total Sa Kashagan"
"184","ROYAL DUTCH SHELL PLC","PERMIAN","United States of America",31688747,"ROYAL DUTCH SHELL PLC PERMIAN"
"185","Glencore plc","Queensland Project - Mount Isa Mines Copper","Australia",30963859,"Glencore plc Queensland Project - Mount Isa Mines Copper"
"186","Total Sa","OML58 (joint venture with NNPC, operated)","Nigeria",30805000,"Total Sa OML58 (joint venture with NNPC, operated)"
"187","Vedanta Resources","Cairn India Ltd","India",30770000,"Vedanta Resources Cairn India Ltd"
"188","Acacia Mining","Buzwagi gold mine","Tanzania, United Republic of",30170000,"Acacia Mining Buzwagi gold mine"
"189","Total Sa","Madingo","Congo",30068000,"Total Sa Madingo"
"190","Perenco (Oil & Gas) International Limited","Corporate","Turkey",29747399,"Perenco (Oil & Gas) International Limited Corporate"
"191","Polymetal Intl Plc","Albazino","Russian Federation",29717000,"Polymetal Intl Plc Albazino"
"192","Total Sa","OML102 (joint venture with NNPC, operated)","Nigeria",29361000,"Total Sa OML102 (joint venture with NNPC, operated)"
"193","Anglo American plc","Corporate-Anglo Operations Proprietary Limited (Corporate)","South Africa",29298740,"Anglo American plc Corporate-Anglo Operations Proprietary Limited (Corporate)"
"194","ROYAL DUTCH SHELL PLC","GABON SOUTH","Gabon",28423947,"ROYAL DUTCH SHELL PLC GABON SOUTH"
"195","Glencore plc","Mangara Field Project","Chad",28242000,"Glencore plc Mangara Field Project"
"196","Vedanta Resources","VEDL-AL-JS","India",28020000,"Vedanta Resources VEDL-AL-JS"
"197","Glencore plc","Queensland Project - Coking Coal","Australia",27637844,"Glencore plc Queensland Project - Coking Coal"
"198","BP P.L.C.","Texas","United States of America",27186979,"BP P.L.C. Texas"
"199","Total Sa","Neuquen","Argentina",26600000,"Total Sa Neuquen"
"200","Anglo American plc","Corporate-Mafube Coal Mining (Proprietary) Limited","South Africa",26525736,"Anglo American plc Corporate-Mafube Coal Mining (Proprietary) Limited"
"201","Nord Gold SE","Berezitovy rudnik LLC","Russian Federation",26427865,"Nord Gold SE Berezitovy rudnik LLC"
"202","Ferrexpo PLC","FXPO UKR","Ukraine",26007870,"Ferrexpo PLC FXPO UKR"
"203","BP P.L.C.","Baltim","Egypt",25923426,"BP P.L.C. Baltim"
"204","BP P.L.C.","Khazzan","Oman",25547602,"BP P.L.C. Khazzan"
"205","ROYAL DUTCH SHELL PLC","BIJUPIRA & SALEMA","Brazil",25244381,"ROYAL DUTCH SHELL PLC BIJUPIRA & SALEMA"
"206","Anglo American plc","Corporate-Anglo American Fosfatos Ltda","Brazil",25076588,"Anglo American plc Corporate-Anglo American Fosfatos Ltda"
"207","Genel Energy Plc","Bina Bawi","Iraq",2.5e+07,"Genel Energy Plc Bina Bawi"
"208","Total Sa","Non-attributable","Bolivia, Plurinational State of",24464000,"Total Sa Non-attributable"
"209","Total Sa","Sulige","China",24146000,"Total Sa Sulige"
"210","Total Sa","Block 10","Yemen",23980000,"Total Sa Block 10"
"211","Total Sa","OML100 (joint venture with NNPC, operated)","Nigeria",23770000,"Total Sa OML100 (joint venture with NNPC, operated)"
"212","Petropavlovsk Plc","JSC Pokrovskiy Rudnik","Russian Federation",23562000,"Petropavlovsk Plc JSC Pokrovskiy Rudnik"
"213","BG Group Ltd","Corporate","India",23502000,"BG Group Ltd Corporate"
"214","Tullow Oil PLC","Okume Complex","Equatorial Guinea",23185210,"Tullow Oil PLC Okume Complex"
"215","BP P.L.C.","KG D6  KG-DWN-98/3","India",23096126,"BP P.L.C. KG D6  KG-DWN-98/3"
"216","ROYAL DUTCH SHELL PLC","MUKHAIZNA PSC","Oman",23003630,"ROYAL DUTCH SHELL PLC MUKHAIZNA PSC"
"217","Glencore plc","Ontario Project - Corporate","Canada",22980000,"Glencore plc Ontario Project - Corporate"
"218","ROYAL DUTCH SHELL PLC","Non Core Assets","United States of America",22852354,"ROYAL DUTCH SHELL PLC Non Core Assets"
"219","BP P.L.C.","BM-POT-17 (POT-M-855)","Brazil",22140160,"BP P.L.C. BM-POT-17 (POT-M-855)"
"220","BG Group Ltd","La Vertiente","Bolivia, Plurinational State of",20713000,"BG Group Ltd La Vertiente"
"221","Tullow Oil PLC","Ezanga","Gabon",20706470,"Tullow Oil PLC Ezanga"
"222","BP P.L.C.","New Mexico","United States of America",20616796,"BP P.L.C. New Mexico"
"223","Glencore plc","New South Wales Project - Coking Coal","Australia",20278927,"Glencore plc New South Wales Project - Coking Coal"
"224","Nord Gold SE","Buryatzoloto JSC","Russian Federation",20239845,"Nord Gold SE Buryatzoloto JSC"
"225","JKX Oil & Gas plc","Novo-Nikolaevskoye Complex","Ukraine",20231000,"JKX Oil & Gas plc Novo-Nikolaevskoye Complex"
"226","Jardine Matheson Holdings Ltd","Kapuas, Central Kalimantan Project","Indonesia",20217187,"Jardine Matheson Holdings Ltd Kapuas, Central Kalimantan Project"
"227","Total Sa","Tahiti","United States of America",20037000,"Total Sa Tahiti"
"228","ROYAL DUTCH SHELL PLC","JINQIU+FUSHUN+ZITONG","China",19764309,"ROYAL DUTCH SHELL PLC JINQIU+FUSHUN+ZITONG"
"229","Total Sa","Baudroie Mérou CEPP","Gabon",19657000,"Total Sa Baudroie Mérou CEPP"
"230","BP P.L.C.","Wyoming","United States of America",19458376,"BP P.L.C. Wyoming"
"231","ROYAL DUTCH SHELL PLC","FOOTHILLS","Canada",19043663,"ROYAL DUTCH SHELL PLC FOOTHILLS"
"232","BP P.L.C.","South Belayim","Egypt",18822456,"BP P.L.C. South Belayim"
"233","Glencore plc","Catamarca Province Project - Minera Alumbrera","Argentina",18568000,"Glencore plc Catamarca Province Project - Minera Alumbrera"
"234","Total Sa","Avocette CEPP","Gabon",18466000,"Total Sa Avocette CEPP"
"235","Total Sa","Tengah PSC","Indonesia",18275000,"Total Sa Tengah PSC"
"236","Anglo American plc","Victor","Canada",18204578,"Anglo American plc Victor"
"237","Premier Oil Plc","Wytch Farm","United Kingdom of Great Britain and Northern Ireland",17363000,"Premier Oil Plc Wytch Farm"
"238","Anglo American plc","Foxleigh","Australia",17311163,"Anglo American plc Foxleigh"
"239","Petropavlovsk Plc","Albyn","Russian Federation",17277000,"Petropavlovsk Plc Albyn"
"240","Glencore plc","Potosi Project - Sinchi Wayra","Bolivia, Plurinational State of",16966000,"Glencore plc Potosi Project - Sinchi Wayra"
"241","Total Sa","CPP Tchendo 2","Congo",16858000,"Total Sa CPP Tchendo 2"
"242","Anglo American plc","Minas Rio","Brazil",16832673,"Anglo American plc Minas Rio"
"243","FRESNILLO PLC","Herradura / Nochebuena","Mexico",16629556,"FRESNILLO PLC Herradura / Nochebuena"
"244","ROYAL DUTCH SHELL PLC","ARGENTINA UNCONVENTIONAL PROJECTS","Argentina",16614713,"ROYAL DUTCH SHELL PLC ARGENTINA UNCONVENTIONAL PROJECTS"
"245","Rio Tinto PLC","DAMPIER SALT","Australia",16445186,"Rio Tinto PLC DAMPIER SALT"
